1, 1, 0.0, 0
2, 1, 0.0, 0
3, 2, 0.0, 0
4, 1, 0.0, 0
5, 1, 0.0, 0
6, 1, 0.0, 0
7, 1, 0.0, 0
8, 1, 4.9, 63
9, 1, 0.0, 0
10, 1, 0.0, 0
11, 2, 5.0, 47
12, 2, 0.0, 0
13, 1, 4.9, 353
14, 1, 0.0, 0
15, 2, 5.0, 6
16, 1, 0.0, 0
17, 1, 0.0, 0
18, 2, 0.0, 0
19, 2, 4.8, 21
20, 1, 4.7, 75
21, 1, 4.7, 113
22, 1, 0.0, 0
23, 1, 0.0, 0
24, 1, 0.0, 0
25, 1, 0.0, 0
26, 1, 4.9, 126
27, 3, 3.5, 4
28, 1, 4.6, 17
29, 2, 4.7, 7
30, 2, 4.8, 119
31, 1, 4.5, 11
32, 1, 4.8, 119
33, 1, 0.0, 0
34, 2, 0.0, 0
35, 1, 0.0, 0
36, 2, 4.8, 92
